Confidence Threshold,Precision,Recall
0.0,0.52,1.0
5.0,0.7575757575757576,0.9615384615384616
10.0,0.78125,0.9615384615384616
15.0,0.78125,0.9615384615384616
20.0,0.8333333333333334,0.9615384615384616
25.0,0.8620689655172413,0.9615384615384616
30.0,0.9259259259259259,0.9615384615384616
35.0,0.9259259259259259,0.9615384615384616
40.0,0.9259259259259259,0.9615384615384616
45.0,0.9259259259259259,0.9615384615384616
50.0,0.9615384615384616,0.9615384615384616
55.0,0.96,0.9230769230769231
60.0,0.96,0.9230769230769231
65.0,1.0,0.9230769230769231
70.0,1.0,0.8846153846153846
75.0,1.0,0.8846153846153846
80.0,1.0,0.7692307692307693
85.0,1.0,0.038461538461538464
90.0,0.0,0.0
95.0,0.0,0.0
100.0,0.0,0.0
