Confidence Threshold,Precision,Recall
0.0,0.52,1.0
5.0,0.6944444444444444,0.9615384615384616
10.0,0.7142857142857143,0.9615384615384616
15.0,0.7058823529411765,0.9230769230769231
20.0,0.71875,0.8846153846153846
25.0,0.7666666666666667,0.8846153846153846
30.0,0.8214285714285714,0.8846153846153846
35.0,0.8461538461538461,0.8461538461538461
40.0,0.84,0.8076923076923077
45.0,0.8695652173913043,0.7692307692307693
50.0,0.8695652173913043,0.7692307692307693
55.0,0.9047619047619048,0.7307692307692307
60.0,1.0,0.6923076923076923
65.0,1.0,0.6538461538461539
70.0,1.0,0.5
75.0,1.0,0.38461538461538464
80.0,1.0,0.2692307692307692
85.0,0.0,0.0
90.0,0.0,0.0
95.0,0.0,0.0
100.0,0.0,0.0
